input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,csp_domains_,tls_wildcard_certificate,final_url,tls_subject_org_,tls_mismatched
*.analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,ctls,analytics.google.com,443,https://analytics.google.com:443,https,text/html,GET,216.239.36.181,/,302920777,2001:4860:4802:34::181,HTTP/3,1,False,,ESF,,http:,True,https://analytics.google.com/analytics/web/,,
*.smooch.io,,200,155,smooch.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-10-04T23:59:59Z,CN=media.smooch.io,media.smooch.io,smooch.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4356bb18ba380cc0dcf6544c12886f59,946a484d3d3a2183fb595ad8908545fad4afbc1de75fe23ed6b00e33d498598f,ctls,smooch.io,443,https://smooch.io:443,https,text/html,GET,143.204.89.77,/,-1507958442,143.204.89.21,Amazon Web Services,8,False,cloudfront,AmazonS3,True,,,,,
*.zendesk.com,Zendesk | CRM-Software für den Kundenservice und den Vertrieb,200,362364,www.zendesk.de,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-06-13T00:00:00Z,2023-06-13T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.zendesk.de,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",25f0a90abb9a1b54e4e1a9705cf66b95,b58f04f3f8112d91524d92505d01c201f8d92e6cbac3b7b0a9dc8b31db89c2fb,ctls,www.zendesk.de,443,https://zendesk.com:443,https,text/html,GET,216.198.1.60,/,-1813529437,216.198.1.62,webpack,969,False,,cloudflare,,*.zendesk.nl,True,https://www.zendesk.de/#georedirect,"Cloudflare, Inc.",
*.zopim.com,Attention Required! | Cloudflare,403,4517,www.zendesk.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2023-05-01T00:00:00Z,2024-04-30T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,www.zendesk.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",baa5bf202734a96073f4c9b0407c369e,aafe07724f448a2d89589591d4cfee2a16993b57844bc36e08d7841bbc0f72be,ctls,www.zendesk.com,443,https://zopim.com:443,https,text/html,GET,104.16.106.139,/,169289173,104.16.105.139,HSTS,94,False,cloudflare,cloudflare,True,,,https://www.zendesk.com/chat/?from=zp,"Cloudflare, Inc.",
1password-scim-2.traderepublic.com,1Password SCIM bridge,200,559,1password-scim-2.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T15:12:19Z,2023-07-20T15:12:18Z,CN=1password-scim-2.traderepublic.com,1password-scim-2.traderepublic.com,1password-scim-2.traderepublic.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,293e189d2b8e84eb1363675fe2e1ae51,60c3a92475f680c90c496b95d7d92f3e11cf55ece376e4da00c304ceabed28a2,ctls,1password-scim-2.traderepublic.com,443,https://1password-scim-2.traderepublic.com:443,https,text/html,GET,34.118.120.250,/,104012657,34.118.120.250,,1,False,google,,True,https://w3.org,,https://1password-scim-2.traderepublic.com/app/,,
app.traderepublic.com,Trade Republic,200,1302,app.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-07T23:59:59Z,CN=app.traderepublic.com,app.traderepublic.com,beta.app.traderepublic.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ae63ab6c76b0c12267e7a3cd4f4c91bf,b39e126d6546a9e559d5508e0ea9e275f7b84a9433fe07a4f4a5edfe7e4d8b8a,ctls,app.traderepublic.com,443,https://app.traderepublic.com:443,https,text/html,GET,108.138.17.5,/,1010355556,108.138.17.59,HSTS,1,False,cloudfront,AmazonS3,True,https://ekr.zdassets.com,True,,,
assets.traderepublic.com,,403,243,assets.traderepublic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-11-02T23:59:59Z,CN=assets.traderepublic.com,assets.traderepublic.com,assets.traderepublic.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4a44c11d1f340b94da317e56bb1c4a20,7cdf3a7c3a2fb1597fd942ac0cb0a759bda699a9af93e85de3fa16c7f210eb79,ctls,assets.traderepublic.com,443,https://assets.traderepublic.com:443,https,application/xml,GET,13.32.99.79,/,-807738422,13.32.99.112,Amazon Web Services,2,False,cloudfront,AmazonS3,True,,,,,
assets.traderepublic.de,,200,,assets.traderepublic.de,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-03-23T23:59:59Z,CN=assets.traderepublic.de,assets.traderepublic.de,assets.traderepublic.de,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,20940204f74c095f39430313d677f319,016bdcbe23f3494bff893049a1a9aac4f71428c76f44a61988f1b9862a9c5d69,ctls,assets.traderepublic.de,443,https://assets.traderepublic.de:443,https,text/html,GET,13.32.121.33,/,-1447726872,2600:9000:236e:e200:b:dd87:1c40:93a1,Amazon Web Services,1,False,cloudfront,AmazonS3,True,,,,,
beta.app.traderepublic.com,Trade Republic - Sign In,200,16989,traderepublic.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,traderepublic.okta.com,443,https://beta.app.traderepublic.com:443,https,text/html,GET,18.66.122.31,/,367933530,18.66.122.58,Nginx,477,False,cloudfront,nginx,True,*.oktacdn.com,True,https://traderepublic.okta.com/oauth2/default/v1/authorize?client_id=0oa3kkgbwt456nvqA417&response_type=code&scope=openid&redirect_uri=https%3A%2F%2Fbeta.app.traderepublic.com%2Fauthorization-code%2Fcallback&state=https%3A%2F%2Fbeta.app.traderepublic.com%2F,"Okta, Inc.",
brand.traderepublic.com,Login - Trade-republic-bank-gmbh,200,23432,brand.traderepublic.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T00:00:00Z,2023-08-23T23:59:59Z,CN=brand.traderepublic.com,brand.traderepublic.com,brand.traderepublic.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9d8695b25352d9752c2f42a459d6c9a6,a02d1199400f04a3e35f60126cf292b4b22b674da5cfb9999d8ad7bb7a96dceb,ctls,brand.traderepublic.com,443,https://brand.traderepublic.com:443,https,text/html,GET,35.156.171.100,/,1423378921,3.127.185.60,Sqreen,191,False,,frontify,,,,https://brand.traderepublic.com/auth/?referer=%2F,,
